================================================================================
SciAssist Fine-Tuning
================================================================================
Autodetected device type: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
2025-11-25 18:26:03,731 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

Device: cuda
World size: 1

Loading base model...
2025-11-25 18:26:05,422 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Model loaded: 20 layers, ~561M parameters

Loading datasets...
Train: 12000, Val: 4000

Training configuration:
  Batch size (per device): 8
  Gradient accumulation steps: 8
  Total iterations: 748

Initializing optimizers...
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
✓ Tokenizer copied to finetuned_model_checkpoint/tokenizer

Starting training...
--------------------------------------------------------------------------------
Step 00000 | Val loss: 1.967224
  → New best! (was inf)
Step 00099/00748 | Train loss: 1.419281 | LR: 0.8676 | Tok/s: 12187 | Time: 1.08s
Step 00100 | Val loss: 1.503388
  → New best! (was 1.608415)
Step 00100/00748 | Train loss: 1.341203 | LR: 0.8663 | Tok/s: 2302 | Time: 5.61s
Step 00101/00748 | Train loss: 1.717139 | LR: 0.8650 | Tok/s: 12766 | Time: 0.97s
Step 00102/00748 | Train loss: 1.583894 | LR: 0.8636 | Tok/s: 11115 | Time: 0.95s
Step 00103/00748 | Train loss: 1.455430 | LR: 0.8623 | Tok/s: 13309 | Time: 0.95s
Step 00104/00748 | Train loss: 1.531945 | LR: 0.8610 | Tok/s: 12693 | Time: 0.97s
Step 00105/00748 | Train loss: 1.428571 | LR: 0.8596 | Tok/s: 12552 | Time: 0.94s
Step 00106/00748 | Train loss: 1.532406 | LR: 0.8583 | Tok/s: 13353 | Time: 0.96s
Step 00107/00748 | Train loss: 1.380330 | LR: 0.8570 | Tok/s: 11548 | Time: 1.03s
Step 00108/00748 | Train loss: 1.456590 | LR: 0.8556 | Tok/s: 10786 | Time: 1.16s
Step 00109/00748 | Train loss: 1.429072 | LR: 0.8543 | Tok/s: 11797 | Time: 0.88s
Step 00110/00748 | Train loss: 1.608506 | LR: 0.8529 | Tok/s: 11989 | Time: 1.02s
Step 00111/00748 | Train loss: 1.370626 | LR: 0.8516 | Tok/s: 13000 | Time: 0.92s
Step 00112/00748 | Train loss: 1.430435 | LR: 0.8503 | Tok/s: 12751 | Time: 0.95s
Step 00113/00748 | Train loss: 1.323179 | LR: 0.8489 | Tok/s: 11847 | Time: 0.93s
Step 00114/00748 | Train loss: 1.708551 | LR: 0.8476 | Tok/s: 12845 | Time: 1.00s
Step 00115/00748 | Train loss: 1.502460 | LR: 0.8463 | Tok/s: 12601 | Time: 0.97s
Step 00116/00748 | Train loss: 1.513704 | LR: 0.8449 | Tok/s: 13171 | Time: 1.11s
Step 00117/00748 | Train loss: 1.604888 | LR: 0.8436 | Tok/s: 12780 | Time: 0.99s
Step 00118/00748 | Train loss: 1.443052 | LR: 0.8422 | Tok/s: 12599 | Time: 0.99s
Step 00119/00748 | Train loss: 1.372683 | LR: 0.8409 | Tok/s: 11518 | Time: 1.14s
Step 00120/00748 | Train loss: 1.558354 | LR: 0.8396 | Tok/s: 12144 | Time: 1.06s
Step 00121/00748 | Train loss: 1.329326 | LR: 0.8382 | Tok/s: 14081 | Time: 1.02s
Step 00122/00748 | Train loss: 1.863998 | LR: 0.8369 | Tok/s: 11263 | Time: 1.06s
Step 00123/00748 | Train loss: 1.472497 | LR: 0.8356 | Tok/s: 11791 | Time: 1.09s
Step 00124/00748 | Train loss: 1.293188 | LR: 0.8342 | Tok/s: 11690 | Time: 0.97s
Step 00125 | Val loss: 1.418186
  → New best! (was 1.503388)
Step 00125/00748 | Train loss: 1.343671 | LR: 0.8329 | Tok/s: 2318 | Time: 5.84s
Step 00126/00748 | Train loss: 1.389947 | LR: 0.8316 | Tok/s: 12065 | Time: 1.02s
Step 00127/00748 | Train loss: 1.457208 | LR: 0.8302 | Tok/s: 12894 | Time: 0.96s
Step 00128/00748 | Train loss: 1.470650 | LR: 0.8289 | Tok/s: 11961 | Time: 0.95s
Step 00129/00748 | Train loss: 1.642973 | LR: 0.8275 | Tok/s: 12461 | Time: 0.99s
Step 00130/00748 | Train loss: 1.305745 | LR: 0.8262 | Tok/s: 13130 | Time: 0.90s
Step 00131/00748 | Train loss: 1.329284 | LR: 0.8249 | Tok/s: 12618 | Time: 0.98s
Step 00132/00748 | Train loss: 1.291450 | LR: 0.8235 | Tok/s: 11721 | Time: 1.11s
Step 00133/00748 | Train loss: 1.349340 | LR: 0.8222 | Tok/s: 11006 | Time: 1.16s
Step 00134/00748 | Train loss: 1.541045 | LR: 0.8209 | Tok/s: 13319 | Time: 0.96s
Step 00135/00748 | Train loss: 1.288372 | LR: 0.8195 | Tok/s: 11360 | Time: 1.07s
Step 00136/00748 | Train loss: 1.321665 | LR: 0.8182 | Tok/s: 13429 | Time: 1.06s
Step 00137/00748 | Train loss: 1.289488 | LR: 0.8168 | Tok/s: 10626 | Time: 1.20s
Step 00138/00748 | Train loss: 1.528875 | LR: 0.8155 | Tok/s: 11200 | Time: 0.98s
Step 00139/00748 | Train loss: 1.430993 | LR: 0.8142 | Tok/s: 11193 | Time: 1.04s
Step 00140/00748 | Train loss: 1.445521 | LR: 0.8128 | Tok/s: 12488 | Time: 0.96s
Step 00141/00748 | Train loss: 1.443481 | LR: 0.8115 | Tok/s: 11144 | Time: 0.98s
Step 00142/00748 | Train loss: 1.373688 | LR: 0.8102 | Tok/s: 12936 | Time: 0.99s
Step 00143/00748 | Train loss: 1.382994 | LR: 0.8088 | Tok/s: 11022 | Time: 1.09s
Step 00144/00748 | Train loss: 1.326003 | LR: 0.8075 | Tok/s: 11506 | Time: 1.16s
Step 00145/00748 | Train loss: 1.618524 | LR: 0.8061 | Tok/s: 12456 | Time: 1.14s
Step 00146/00748 | Train loss: 1.219028 | LR: 0.8048 | Tok/s: 11497 | Time: 1.05s
Step 00147/00748 | Train loss: 1.312300 | LR: 0.8035 | Tok/s: 11613 | Time: 0.99s
Step 00148/00748 | Train loss: 1.418316 | LR: 0.8021 | Tok/s: 13268 | Time: 1.02s
Step 00149/00748 | Train loss: 1.545171 | LR: 0.8008 | Tok/s: 12501 | Time: 0.90s
Step 00150 | Val loss: 1.350654
  → New best! (was 1.418186)
Step 00150/00748 | Train loss: 1.388446 | LR: 0.7995 | Tok/s: 2013 | Time: 5.43s
Step 00151/00748 | Train loss: 1.486617 | LR: 0.7981 | Tok/s: 12537 | Time: 0.97s
Step 00152/00748 | Train loss: 1.404435 | LR: 0.7968 | Tok/s: 12307 | Time: 0.99s
Step 00153/00748 | Train loss: 1.196444 | LR: 0.7955 | Tok/s: 12367 | Time: 0.96s
Step 00154/00748 | Train loss: 1.405109 | LR: 0.7941 | Tok/s: 11298 | Time: 1.06s
Step 00155/00748 | Train loss: 1.462964 | LR: 0.7928 | Tok/s: 12810 | Time: 1.00s
Step 00156/00748 | Train loss: 1.309713 | LR: 0.7914 | Tok/s: 12299 | Time: 1.01s
Step 00157/00748 | Train loss: 1.318332 | LR: 0.7901 | Tok/s: 13038 | Time: 0.94s
Step 00158/00748 | Train loss: 1.635381 | LR: 0.7888 | Tok/s: 12818 | Time: 0.94s
Step 00159/00748 | Train loss: 1.545320 | LR: 0.7874 | Tok/s: 11808 | Time: 1.10s
Step 00160/00748 | Train loss: 1.336765 | LR: 0.7861 | Tok/s: 11891 | Time: 1.22s
Step 00161/00748 | Train loss: 1.494262 | LR: 0.7848 | Tok/s: 12609 | Time: 1.09s
Step 00162/00748 | Train loss: 1.484246 | LR: 0.7834 | Tok/s: 12878 | Time: 1.06s
Step 00163/00748 | Train loss: 1.386248 | LR: 0.7821 | Tok/s: 11832 | Time: 0.89s
Step 00164/00748 | Train loss: 1.204863 | LR: 0.7807 | Tok/s: 12599 | Time: 1.08s
Step 00165/00748 | Train loss: 1.420480 | LR: 0.7794 | Tok/s: 13485 | Time: 1.07s
Step 00166/00748 | Train loss: 1.323286 | LR: 0.7781 | Tok/s: 11503 | Time: 0.98s
Step 00167/00748 | Train loss: 1.385843 | LR: 0.7767 | Tok/s: 13342 | Time: 1.04s
Step 00168/00748 | Train loss: 1.195628 | LR: 0.7754 | Tok/s: 12126 | Time: 1.10s
Step 00169/00748 | Train loss: 1.222987 | LR: 0.7741 | Tok/s: 12053 | Time: 1.08s
Step 00170/00748 | Train loss: 1.428565 | LR: 0.7727 | Tok/s: 12070 | Time: 1.01s
Step 00171/00748 | Train loss: 1.341567 | LR: 0.7714 | Tok/s: 11417 | Time: 1.11s
Step 00172/00748 | Train loss: 1.194574 | LR: 0.7701 | Tok/s: 13191 | Time: 1.02s
Step 00173/00748 | Train loss: 1.193248 | LR: 0.7687 | Tok/s: 14374 | Time: 0.96s
Step 00174/00748 | Train loss: 1.370420 | LR: 0.7674 | Tok/s: 14272 | Time: 1.05s
Step 00175 | Val loss: 1.334196
  → New best! (was 1.350654)
Step 00175/00748 | Train loss: 1.342774 | LR: 0.7660 | Tok/s: 2256 | Time: 5.67s
Step 00176/00748 | Train loss: 1.412088 | LR: 0.7647 | Tok/s: 12562 | Time: 1.13s
Step 00177/00748 | Train loss: 1.324815 | LR: 0.7634 | Tok/s: 13044 | Time: 0.93s
